pT[MeV],eta,phi,E[MeV]
635.991444,2.422640,-1.917044,3616.484375
689.614584,2.273273,-1.267303,3386.852295
594.967648,2.229268,-0.803258,2800.028076
608.452255,-2.119366,0.110703,2573.270752
1480.414476,2.360020,-1.472913,7910.772461
1446.297385,2.192286,1.021725,6558.510742
552.018785,-2.156298,1.998203,2420.448975
1158.013801,2.146407,0.876374,5022.493652
654.005574,2.092287,1.017942,2693.814453
504.147494,0.169509,-0.463115,530.111023
527.569112,1.953016,-0.151036,1902.203125
1692.228551,0.338949,1.439508,1795.802002
3875.308661,1.975887,0.824570,14245.647461
2689.570260,1.162733,-0.106983,4723.997070
1717.673541,1.020293,-0.359557,2695.636963
704.713058,1.586019,0.975250,1798.567627
712.847639,-2.059075,2.376850,2842.802490
2272.563002,-0.303340,-2.544534,2382.014648
740.386640,2.055218,1.019850,2941.391602
941.777900,-1.563177,-0.106658,2350.789551
1414.388915,1.707882,-2.259928,4032.371094
1232.378673,-1.584245,-0.917421,3133.789795
748.027307,0.680368,-0.290690,938.378296
1178.783467,0.624695,-0.374303,1423.227539
1549.501051,-1.515047,-0.652694,3697.754639
548.047830,0.159500,-1.528253,572.313171
1071.087263,0.828234,-2.814377,1466.598145
591.923297,1.311429,3.074273,1186.434570
1918.548248,-1.489830,1.127705,4474.076660
622.281339,1.482530,0.111279,1447.678101
1025.414075,-1.202192,-0.802088,1865.298462
1131.389988,-0.502740,-1.512296,1285.007080
674.245376,1.633265,1.840511,1797.523560
950.764489,0.713319,1.509592,1211.151367
833.087588,1.841627,0.429110,2696.715576
996.944230,2.104842,-1.879635,4153.458984
1311.443686,-1.904048,-0.260366,4501.710938
735.073208,1.118759,-1.681615,1252.916138
576.247849,0.186734,-0.472740,602.706726
1954.946298,0.082769,-2.418881,1966.605469
894.924486,0.225154,2.586235,928.257019
728.099671,0.754692,-3.140676,955.724060
730.073572,1.299152,0.546474,1444.620117
539.615899,1.261583,-2.038258,1038.526123
578.938617,0.062236,2.296481,596.615112
731.129737,-1.780527,0.331357,2234.867676
885.349585,1.570292,-0.020391,2224.855713
707.979156,0.230789,1.023034,740.195374
581.713855,-0.480679,-0.192985,665.031738
1374.236575,-0.544992,2.052854,1589.562500
688.231168,-1.698949,1.243939,1949.624146
657.517201,0.586364,-1.707474,786.313721
608.982527,-1.246559,-0.709987,1155.130127
530.296376,-0.319503,0.417632,574.796692
508.758993,1.664005,2.819031,1398.385742
635.921936,-1.300219,1.427876,1261.330322
1707.797820,-1.947845,-0.151566,6112.211426
528.125473,0.789977,-2.540728,715.414246
519.743378,2.020343,1.658826,1999.009888
725.234750,-0.545284,0.652802,847.325623
849.831259,0.497367,0.036789,967.251892
1417.995916,-0.567625,0.402108,1658.516846
1941.704840,-0.259378,0.645705,2012.234253
509.800269,0.118754,0.018159,532.032532
937.368793,0.047709,0.483025,948.757935
513.749562,-0.309184,-2.028197,556.294739
1091.291056,-0.822793,0.561337,1488.560303
2034.504591,2.238662,0.847631,9652.061523
512.256381,-2.466273,0.624770,3041.747314
679.370894,0.190579,0.806319,705.685486
621.638840,1.513246,-2.323243,1486.578003
2203.260665,0.309152,-0.181408,2313.604004
582.916121,2.443182,2.950932,3382.770264
787.797224,-1.892128,2.273123,2675.936523
1661.658072,-2.075172,0.576863,6724.060547
592.290355,2.342918,-0.462590,3114.908203
829.435730,-0.803751,0.969963,1120.811523
770.499157,-1.280650,1.688430,1500.055786
996.943317,-0.430349,-0.441995,1099.587769
509.235928,2.218705,1.270227,2373.115479
806.987021,1.721974,0.521301,2334.058838
1007.975678,-2.499047,0.351339,6176.967773
1119.363487,-1.759495,1.026475,3350.718506
2124.259866,-2.460241,-2.516759,12526.527344
519.392945,-1.221634,1.331349,967.741760
631.537500,1.623456,-2.014780,1669.250977
1132.550464,-0.496844,0.875104,1282.852295
797.531446,2.063006,-0.585381,3191.848633
639.118529,-0.729421,2.283108,828.653748
3077.952261,1.251381,-0.069076,5820.964355
1127.037524,-1.777470,0.357328,3431.252686
12167.785548,1.160070,-0.111369,21316.111328
